DMY,Current_Price,Open,High,Low,Volume,% Changes
07/15/2020,"1,975.39","1,970.38","1,981.20","1,959.65",2.62B,1.19%
07/16/2020,"1,962.90","1,974.46","1,979.76","1,955.25",1.88B,-0.63%
07/17/2020,"1,982.12","1,971.05","1,985.27","1,964.93",2.16B,0.98%
07/20/2020,"1,979.01","1,979.63","1,992.55","1,968.94",2.15B,-0.16%
07/21/2020,"2,009.29","1,994.14","2,013.85","1,992.19",2.86B,1.53%
07/22/2020,"1,975.74","2,015.03","2,017.40","1,975.35",2.78B,-1.67%
07/23/2020,"1,978.87","1,975.32","1,986.14","1,960.76",2.57B,0.16%
07/24/2020,"1,947.28","1,959.04","1,962.40","1,940.01",2.22B,-1.60%
07/29/2020,"1,938.38","1,953.62","1,960.26","1,936.32",2.21B,-0.46%
07/30/2020,"1,899.86","1,947.55","1,951.03","1,895.13",3.79B,-1.99%
07/31/2020,"1,922.18","1,897.63","1,922.39","1,879.19",2.84B,1.17%
8/3/2020,"1,903.83","1,914.29","1,915.66","1,891.23",2.22B,-0.95%
8/4/2020,"1,922.08","1,920.40","1,933.01","1,916.47",2.40B,0.96%
8/5/2020,"1,932.47","1,928.93","1,939.69","1,913.80",2.50B,0.54%
8/6/2020,"1,927.78","1,928.96","1,948.29","1,927.78",2.46B,-0.24%
8/7/2020,"1,912.99","1,924.55","1,926.96","1,907.60",1.84B,-0.77%
8/10/2020,"1,908.57","1,917.17","1,922.27","1,908.37",1.35B,-0.23%
8/11/2020,"1,933.27","1,928.28","1,944.41","1,924.58",3.14B,1.29%
08/13/2020,"1,953.18","1,954.36","1,963.28","1,946.84",3.45B,1.03%
08/14/2020,"1,922.55","1,950.88","1,954.86","1,918.64",2.33B,-1.57%
08/17/2020,"1,916.38","1,928.38","1,932.16","1,907.11",2.18B,-0.32%
08/18/2020,"1,931.22","1,916.49","1,931.46","1,916.00",2.23B,0.77%
08/19/2020,"1,894.14","1,933.46","1,935.39","1,883.82",3.22B,-1.92%
08/20/2020,"1,873.29","1,874.75","1,887.43","1,868.04",2.12B,-1.10%
08/21/2020,"1,874.74","1,887.73","1,891.28","1,870.17",1.65B,0.08%
08/24/2020,"1,903.44","1,884.85","1,905.61","1,873.97",2.37B,1.53%
