Date,Month,Model,MSFT_Price,SPY_Price,MSFT_Shares,SPY_Shares,Total_Invested_THB,Current_Value_THB,Profit_Loss_THB,Return_Pct
2020-07-01 00:00:00-04:00,2,Model 2 (Medium Risk),196.1201171875,289.985595703125,0.4415496583783887,0.2955335908898692,6000,6030.403930241339,30.403930241339367,0.5067321706889895
2020-08-01 00:00:00-04:00,3,Model 2 (Medium Risk),207.46385192871094,307.04730224609375,0.6481260930619088,0.4351118986738389,9000,9382.19346627877,382.19346627876985,4.246594069764109
2020-09-01 00:00:00-04:00,4,Model 2 (Medium Risk),218.27049255371094,329.2828369140625,0.844474863597609,0.565264879797261,12000,12965.958867897232,965.9588678972323,8.049657232476935
2020-10-01 00:00:00-04:00,5,Model 2 (Medium Risk),204.04693603515625,316.0117492675781,1.0545105724884243,0.7008837071240077,15000,15282.999817902042,282.9998179020422,1.8866654526802813
2020-11-01 00:00:00-04:00,6,Model 2 (Medium Risk),194.3180389404297,309.5985107421875,1.2750621131010855,0.8393118370087518,18000,17766.604244593487,-233.39575540651276,-1.2966430855917377
2020-12-01 00:00:00-05:00,7,Model 2 (Medium Risk),208.1920928955078,343.1837158203125,1.4809159582740286,0.964192887249441,21000,22372.360169922187,1372.3601699221872,6.535048428200891
2021-01-01 00:00:00-05:00,8,Model 2 (Medium Risk),209.61717224121094,347.25482177734375,1.6853703090264862,1.0876098714623266,24000,25583.611565237523,1583.6115652375229,6.598381521823011
2021-02-01 00:00:00-05:00,9,Model 2 (Medium Risk),230.76280212402344,354.26031494140625,1.8710897684136594,1.2085862864023724,27000,30097.622675382332,3097.622675382332,11.47267657549012
2021-03-01 00:00:00-05:00,10,Model 2 (Medium Risk),228.67877197265625,366.8307189941406,2.05850175461353,1.3254171313617538,30000,33492.878041460724,3492.8780414607245,11.642926804869083
2021-04-01 00:00:00-04:00,11,Model 2 (Medium Risk),233.9001922607422,378.4521179199219,2.241730089925745,1.4386603682940706,33000,37408.1806832534,4408.1806832533985,13.358123282586057
2021-05-01 00:00:00-04:00,12,Model 2 (Medium Risk),243.07858276367188,395.0693054199219,2.4180399168544704,1.5471404305747627,36000,41965.04939722277,5965.0493972227705,16.56958165895214
2021-06-01 00:00:00-04:00,13,Model 2 (Medium Risk),239.325439453125,396.4579772949219,2.5971146652601322,1.655240520146833,39000,44722.612099464066,5722.612099464066,14.67336435760017
2021-07-01 00:00:00-04:00,14,Model 2 (Medium Risk),262.7355651855469,407.953125,2.760233589897825,1.7602946065866485,42000,50516.522628726176,8516.522628726176,20.277434830300418
2021-08-01 00:00:00-04:00,15,Model 2 (Medium Risk),275.5241394042969,414.7392272949219,2.9157812778419854,1.8636297628405494,45000,55170.09732755087,10170.097327550873,22.600216283446382
2021-09-01 00:00:00-04:00,16,Model 2 (Medium Risk),292.53790283203125,428.2071228027344,3.0622824403998865,1.9637148398393414,48000,60784.8627598301,12784.862759830103,26.635130749646045
